notification_type,notification_no,notification_date,contract_acct,cause_code,meter_no,prediction,probability
ZQ,5928abd363e453fac73cacfa40e8027e,2021-01-04,40e8af2ca1e75d8bbbc814d1d52e834c,Meter Stopped/Stuck,b9e7247ccba603059f48cf0f3c4741e0,False,
ZQ,8530a9e85591216120023d4434c94976,2021-01-04,0576735eb7b6a3f35476569bd99cd1a7,High Consumption,8340e354907e5abd1b2b361d93561734,True,
ZQ,3add87a81b3309cd2b9685b6f722fcc9,2021-01-04,79bebd82753514b88bf1aace91b87ec3,Meter Stopped/Stuck,d38b243372bd6a380622bb02e8ec0f65,False,
ZQ,1e8948ccf91d3db2ff9e5b15192f9fc3,2021-01-04,fb3ca33fd4457978cb61b1fbceedd3bb,Meter Stopped/Stuck,7dfb6ca33137fa845cb49b7e575557d9,False,
ZQ,3612262fe1113350f7ddecacf70b1858,2021-01-04,4d8211d2eb448d28c3b55cbc37539996,Meter Stopped/Stuck,96a3fca83e3c141a36eb00990305b640,False,
ZQ,090ca2c42330568816a76a0875618be4,2021-01-04,d8923d500618a86d51fbbdbf9ec0e845,Meter Stopped/Stuck,2671361c41b27ce68096ee17ff62fb86,False,
ZQ,a8a7186eec9d7db675ea704383c0b541,2021-01-04,9e9d70de1bce7fda867a0d241f02080a,Meter Stopped/Stuck,72c3397a1b3816597701f988a241f94d,False,
ZQ,61f7a38dedbb89f5a814c3c8b7a4f92f,2021-01-04,4d177f0ec01440e06965324a9056abd8,Low Consumption,e3ef22cdf52c1fef1e41e7b8fb9f49be,False,
ZQ,5751c57284f9b51f356050be4a789b61,2021-01-04,cea85c316a0a8179af5e396110b395a8,High Consumption,9cd69404c52d416469a9d581940ef585,True,
ZQ,c85e8d3bd1749ceb8f38a65e75156831,2021-01-04,8d85f7602d1148749b3381775dcb2da0,High Consumption,0144f64015c2158158b661d51b2d6c8c,True,
ZQ,a3ed26d455f7e98e188cc9e6e57757ed,2021-01-04,5b053de39fff4f731ac7e71ef9f7da06,Meter Stopped/Stuck,583d0edc2b44615fe192cb52b1d4899b,False,
ZQ,e34d185057ee39204be555d091d86b4f,2021-01-04,d78678106230168e5dc886ff2c03c922,Low Consumption,c7ac34333f808ccb9af96e1065153afb,False,
ZQ,0e2ca9a63feb4e9fd8c72075b26b78d5,2021-01-04,02039227d9b82f4c6aada2f7407c8b1f,Meter Stopped/Stuck,ba11feb0c27aaad7711361d707e7202b,False,
ZQ,969c674e3c47ee150621015e2e3c2b57,2021-01-04,4e7320602cc543579d68fba098510a8b,Meter Stopped/Stuck,a7dc1718723978d3e7c63e67e25ea8e6,False,
ZQ,6a28613830dfc55580633dd1de3eb77b,2021-01-04,6b60e7ea7cfaac30f0ba4dc85b07ee87,Low Consumption,323e4358ad3d9ff551d22ee5b0fd1a24,False,
ZQ,ad25b8e669b743b4927eedd52bdb8ffe,2021-01-04,13b6ed17c57b4b859540b97df3c1e2c4,Meter Stopped/Stuck,b0f1c3c436510bada8fb858b7b2c0741,True,
