notification_type,notification_no,notification_date,contract_acct,cause_code,meter_no,prediction,probability
ZQ,e0a67b3b6d70232885755de37dea1808,2021-01-05,0b1262f1e99984a2ef278b3be684503a,High Consumption,69ff00b5bb753a756db83c718c2d0cd3,False,
ZQ,dca9a12dc21e7fa7e90870277b3a89ab,2021-01-05,c45221a9ed5e7686bee60004aee915f5,High Consumption,9ea33ce62b9205fbe813905b9f3cef7b,False,
ZQ,decdd16360364f473e50b2ea5848e2aa,2021-01-05,da53e1cbdb41578c7a6541eedfd5393b,Meter Stopped/Stuck,dd4c5437696bd5423c65c589f9cff031,True,
ZQ,458afef76d1c0efd92e668f3064a9972,2021-01-05,7aa998ff963d53ce82d34142b1d6a44a,Low Consumption,a3b1f39ed70e7e29ac69600881f2c0ce,True,
ZQ,aff85f4c0a335ef936e440435794fd18,2021-01-05,6a01ec99bcc8b68da90b4647384823b6,Meter Stopped/Stuck,7099ebde4788304d170a3ddbe391c092,False,
ZQ,3b57f2aea3704f314c1d7b06c4c4cae3,2021-01-05,77b204046a8b8995d786e85e5dd68e1a,Meter Stopped/Stuck,47730d1fb7e3f24581763a667af9dfca,False,
ZQ,4322bfce2568aada7f1659380f2730f3,2021-01-05,3f2dca4d967f0f3d9c5410ca283acd5a,Meter Stopped/Stuck,2739fd06bb196cc44cc914de202c62a9,False,
ZQ,74c3135ebd0cc0cc60516a15ff3e10cf,2021-01-05,030de91dd0c109bf6e37c1a715101b56,Low Consumption,f06e462dc401a3bc3d7837bbe55c137d,True,
ZQ,3c3dd3dac0433d5dc359aa1707d63c6f,2021-01-05,a85e057cf37235ab194e91cd134ef5d8,Meter Stopped/Stuck,c9adb0f3827341ebdf3c9ee7a2675f22,False,
ZQ,7a74b25b43ae3d305bbcfc7cbe7c8459,2021-01-05,0e578591df65b2fb60eb291295e4d4ae,Low Consumption,c9ae9e8acd985e6ea0cc30f12e18ef92,True,
ZQ,13c0d0a82e480688766fbd73d8a8d39a,2021-01-05,05645ba8bb83e001d0f5620d45262b21,Meter Stopped/Stuck,00c87253c819da17b79a856cc5fab6d2,False,
ZQ,85c57678f4cc3217d84187cdcddf226c,2021-01-05,bf4f9df601daa2126b3c60c81a24f311,Meter Stopped/Stuck,df0ffe509bcd7cc03bf145fb462bb546,False,
ZQ,5c010e1b73efefe117ef71209b36a690,2021-01-05,822255a4821f0bbf327b94322a7d3c69,Meter Stopped/Stuck,0139e375b460daabbe7272d708b179a9,True,
ZQ,0c66bb003f3f2d1906b29ffb221dc281,2021-01-05,869a5481de967cb135ea1ac740ccfefe,Low Consumption,194ec8b106d192abdfc5de310ec534ce,True,
ZQ,1ada522178083b87a4ed81f0d300b634,2021-01-05,f67ef922bd18402edb1eaf24f573db32,Meter Stopped/Stuck,d29d8bae3862c422cf13fba42dbe8db6,False,
ZQ,8aff9b5495340055342851d951cf86ca,2021-01-05,9a8b540a2fe26862b4189ed299f3ecd1,Low Consumption,80001f14bd6cc7590b8d33ed153f9fc8,False,
ZQ,620c8803e2c1d90348d535a9936ff0d2,2021-01-05,e98db289b6a7550ccf56ff562ea92fd1,Low Consumption,f40cbd6cf32983a8e5641a8b7aafd517,False,
ZQ,c91b96a9324d3de70b8856751676d43a,2021-01-05,0ed5889414da1b4412bcee81d58edad1,Meter Stopped/Stuck,96fb4c79eebdf99f54e2ae8353c62400,True,
ZQ,79771511d74aed30d43b125df38b836b,2021-01-05,fe6050b3a18a63cb1ea12335063aaa2f,Low Consumption,0bbbb370a97917f20e8f8a8ecf4dc48d,True,
ZQ,ba13cc823a9b43f7a5f9bb35975fbe21,2021-01-05,8084ffb9e049f897057981d98335aecc,Meter Stopped/Stuck,8ea1b1d4010d064f8c78bf90cc6c7785,False,
ZQ,1e4124fecb5730a2c011ffb8d8c55ae3,2021-01-05,4a69f7171d7c882360b93cdb2d63318a,Meter Stopped/Stuck,2fc0dbd32c238b25c00c21342f2f48ab,True,
ZQ,63cfaf64594274a93ed9ed0704f0634a,2021-01-05,c6419c29ebf6656db2e5a5d4f6afd15f,High Consumption,2ec55d997c2e42741e78847b836abd9d,True,
ZQ,de96158cbe1ba9333d8e5a8c7eecfa85,2021-01-05,7ea059a2a3a2a480c650d9eddd55b894,Low Consumption,1743ff526298076ad41b16c1a04ffb0a,False,
ZQ,b92753de3e7229e4e340f17fce93000b,2021-01-05,e461594d8b191dbfcfd37e9e42cdf65d,Low Consumption,f84dfea11f19ee01c59ebb4f2091abcc,False,
ZQ,b96904dc35e26b93ac7d309959a21631,2021-01-05,1d43e2304678ac9ff8282c6361bae479,Meter Stopped/Stuck,8bbbb199433467e9646ee88624c8d461,True,
ZQ,6586325bcf367e726b476f9d48ce65ea,2021-01-05,eb1de1f0ff97b8f719c9ad4963d30e02,High Consumption,9426ced519c2b414bd671cd581695c09,True,
