notification_type,notification_no,notification_date,contract_acct,cause_code,meter_no,prediction,probability
ZQ,695480e4f88db9d47888e26b2a66a7b5,2021-01-03,4e143bc2c106dcc30d47585ff730a05e,Meter Stopped/Stuck,585dac84229248c34ae4fffa040b4f4d,False,
ZQ,ef81c892467cedafb090e0680c73e01a,2021-01-03,7fb892ff62e82028de05fbbbc0f475fb,Meter Stopped/Stuck,38b89de29b32ead797d940aaa2d7f55f,False,
ZQ,4da0f6db5b605f76e87b2005b8166a40,2021-01-03,887a9841f1a448541c045fd69fc0987f,Meter Stopped/Stuck,5c9d384e3e446807afebb78eedde1359,False,
ZQ,47fe49e011ede3971d6e38338bda8318,2021-01-03,68be455260d365c1f2b3648ebd7799b4,Meter Stopped/Stuck,7da18add388f83b544ac723f7df6e7ee,False,
ZQ,b788b4f77613ccd135d29d1b802eb089,2021-01-03,a785f358b3ce66a402234393f7d543ae,Meter Stopped/Stuck,b4ccfe614d7f6d4d6203f72466574995,True,
ZQ,dd1622dbcff6d89c247431785a25a0b2,2021-01-03,54cff9ad799489350f44442cd4c67021,Meter Stopped/Stuck,b89651ff67031f33dc94f9d9d2be46da,False,
ZQ,e914119ecbc2730ac210309aa3005607,2021-01-03,1d0a2ec690e6995186ad088bc9d13a54,Meter Stopped/Stuck,4af9a03090a6dd99a54b577c9818d82f,False,
ZQ,a896edaf07d1f7b10fe7a1b306149fae,2021-01-03,1d462bb76b0168022c3560a0ddc1f77c,Low Consumption,e9ee467950c08110991277934eed86a1,False,
ZQ,afd1d8b25f90c707da62e00084f9b60e,2021-01-03,e92d6a7ddbc9b25d4a90b6173934c19f,Meter Stopped/Stuck,f2f9721222f9fb2f0135f63b579b21e3,False,
ZQ,e1de772223bb09acbf1a79a013040afa,2021-01-03,6fc80bf22d27cb7e6dcb195d42c1e87f,Meter Stopped/Stuck,f0a2ef8b93d6279ee2f47cd76e8497c0,True,
ZQ,da5591a7339c4dfe32396c8bf5a79dd3,2021-01-03,3691fe769e370319c81eab4c278e0c7c,Meter Stopped/Stuck,933ce800f5c827b4fbcaa4b0c64ba138,False,
ZQ,f89938a0b511cf8294bdbad687c62b0e,2021-01-03,3e2c79cc7557ed196763bd2fd840890a,Low Consumption,54dc2f47c6406a6a7444c28254ef4b8b,True,
ZQ,4239082243e406378842d9cc1144aab2,2021-01-03,beab637ff1e9ebf16662169b77074c00,Meter Stopped/Stuck,cf51b8d4cea5a5a9debf0f86bf1ba8fc,True,
ZQ,f2a3865b2953c713bd584372a9b32431,2021-01-03,830b711b674355cf33fcb52d91ccce61,High Consumption,9ca27726f4c66cbf381e5c1aabc31853,True,
ZQ,072d7827c98d707a5eb9c634a12633f9,2021-01-03,54a21bb9d505fba37f39b42bcd91d4d4,Meter Stopped/Stuck,a581043004bbdb76718a21145ef626b0,False,
ZQ,0eb1a36d44f629f4cf2835bc4910d592,2021-01-03,75e494ca8c9dc78b8cd92e92f29058db,Low Consumption,1d465161a6d9f53b61b70c39d5e1db61,True,
ZQ,43285e6ece8b79f32a58ba0fbdbb4b29,2021-01-03,4f8a67ff46d1e382822a1f56141a05fa,Meter Stopped/Stuck,aded7ce65807b5b4e3785fa42900b70e,False,
ZQ,c87caff081a32989245a0a3b54867c1a,2021-01-03,6561e5989c0b2fb5fdab020f1cb6f7c7,Meter Stopped/Stuck,6ad20d9b5d58038da061e0856b16dac1,False,
ZQ,3465e7592b76019a3a2e525aeb868048,2021-01-03,81b6895ef8cab0e5a33c925450059b6c,Meter Stopped/Stuck,30e78284f8afc43c1a9387d4f7effdc0,False,
ZQ,f9845ed417e063891a4928c8566aac4c,2021-01-03,bda16ed9cfb2ba4bbebca5f862b1157d,Low Consumption,baeb01975e52ada244a26effd67073dc,True,
ZQ,015340bf23040f25d7dbf1d36a4614fe,2021-01-03,7d3b886c7437a335960643974e8772e2,Low Consumption,4abf8bfb883aa02dceeb5656523d160c,True,
ZQ,ab302e29f48023d36a07b06fd7dc662b,2021-01-03,096786ce7df5ad7c6f9c3b9efa20daf4,Low Consumption,43e789a957640266bbe8cb3d354de55b,False,
ZQ,cabbd95041af39d1d5ca373a2e1eb3cb,2021-01-03,9e233fb773456479d77ca3b5bcf203c2,Meter Stopped/Stuck,2aa7aa091ba928b71f85a23088f93d96,False,
ZQ,d0e00ba02861525a9c15920dafee797b,2021-01-03,31237121b7080f872788fc06b7435f7d,Meter Stopped/Stuck,25bf3a68eabf1a2073ecf649ca555dc4,True,
ZQ,aac28efda3c8cd06f9f1a168fc48213c,2021-01-03,f413d1a9034b4944d7921ad159b3982d,Meter Stopped/Stuck,ec236fe446e05fffe4bdbc72283ada19,False,
ZQ,7cb33d40b7b2134678b83027727f1335,2021-01-03,f0bfb604b5d4c7c19284a9ca165b1866,Meter Stopped/Stuck,f63f87d1e1dacc28d4f397c2421685ab,False,
ZQ,7f93906ce700025fcf71f601d5418dab,2021-01-03,86add6ae9ef274e2a20d0df9319eac03,Meter Stopped/Stuck,3cc324d63e9a00304091f1615506166a,False,
ZQ,acebc3e6f9e9cc2d286f2ca18df03a6c,2021-01-03,1d5bb86ce11eb2a9292753be2e7a31e9,Meter Stopped/Stuck,0128302561ba326343b0748310a31e1e,False,
ZQ,88be56d6651951619882fa39c0f0d7ae,2021-01-03,b55d02f00ae109c45c1af21c54ed208b,Meter Stopped/Stuck,cca8511b044369b251c08bba4c2b71ca,True,
ZQ,054bdb9238cdf27196af95c6ba41d875,2021-01-03,c37a873df3ec226f3cf9631f6a40c435,Low Consumption,adbb05744ba3ae672a55aa8fe350e23d,False,
ZQ,3baa720fc4b71e2489f8098d6aaaf4d6,2021-01-03,d426daca5344d319603ee5d923226ff5,Low Consumption,fb7e063f3b9915805f806fa39ba2e434,False,
ZQ,308a3da3ff65a14d7dd9be1fd9ed3a80,2021-01-03,54e70fbc9ba742a589a9131e10bdabd2,Meter Stopped/Stuck,88766bd88a36bdec3b2e9f4c9ededbcb,False,
ZQ,6fa9a89c625723e92e49835c1c9e0141,2021-01-03,23fb53d6efeccd0abdad6f0c33f2c02a,Low Consumption,bd30117db7c9811f816b7472b6ac224b,True,
ZQ,90c8e4d35be3cba792033ce3a5708dba,2021-01-03,c12438d19d002e77000bb1b43f140b45,Meter Stopped/Stuck,cb1e1b6c1d97ceaf850d04b1c2a0ea15,True,
ZQ,4290061bef905ac5d0945e92edc955c8,2021-01-03,7bdf7977db0565b73d5a27d46afac624,Meter Stopped/Stuck,585272b542d02ed11dccd8e3c61ff89e,False,
ZQ,7a60ae70186ccb5ceed625e50649ee93,2021-01-03,c1f4eba1b339e1f08cf1f0595f1ee353,Low Consumption,d9bad1c3c073328d5160165c3b297d62,True,
ZQ,c8a47a5b99d524b2d6c509ff45f17817,2021-01-03,dba625f41e2f3fd08c8a35f43cf862f1,Meter Stopped/Stuck,58c4b1edebf16a86b115087f5423a563,False,
ZQ,87932b3687ee9fa9f8abdcd81927dcfe,2021-01-03,27b2d81a590300709977cca035451fb2,Meter Stopped/Stuck,cb30051673c611698803c2256062c1b6,True,
ZQ,536e380ea0a4b68def1dbb0a67c59246,2021-01-03,e8cacd3587905a7f1c89dfe6f84629f0,Low Consumption,888c5bcd016143f1461aa0a5ca0011f8,True,
ZQ,4a57227eadd75f7089b0a7884ddadcb4,2021-01-03,ba404acc0beca1433656c5299a275769,Meter Stopped/Stuck,37641e0a554e6c55797cfa037acb6b32,False,
ZQ,d97cb621aebf2a2474df217d0b0cdaf8,2021-01-03,9842a070ddba7cf095355d29a19cac02,Meter Stopped/Stuck,7d473fb51d81bb87aea43eaf53a3cd62,False,
ZQ,1faeef523fd2f3e1021172eebb76f0a7,2021-01-03,bd13236214677aec4d7950614dfe50d8,Meter Stopped/Stuck,8b8a3f5e567e5ea74518d711396e3e16,False,
ZQ,e978066af095a23b463726145418dbc9,2021-01-03,a63e13036d8f0f1618188e0a2f631f50,High Consumption,a31a5a46a0c90b32be59fdbc56bcb279,False,
ZQ,60c6effac2352c8589afa4dfd09f7459,2021-01-03,8141f15d23337fd80969c34ebc12463f,Low Consumption,120517bacd8f45428e705366b8a7444b,False,
ZQ,ab1fcd150dbcde7e7b8a53517b561b9c,2021-01-03,e4fc52d85853eca083735ef54a889d38,Low Consumption,43a5bd8db5b4307125503711ba92f598,False,
ZQ,b384c512833ea73d35785f4928f36046,2021-01-03,852ef1a9ac325acf1ae27c8c98548ce3,Meter Stopped/Stuck,a64ea9cd983e867e180f333ff0f161b1,False,
ZQ,03ecffdd1bba6281de730413bcf267e5,2021-01-03,904834ecf125371062dc57de0a18a66c,Low Consumption,5cd4ef48e70f6feb53b14bf05a60210e,False,
ZQ,6dae50b7521e93fa33fbdc1f2c8d5632,2021-01-03,cb82695df1e40680e43db17f6aff217b,Meter Stopped/Stuck,042daf9ae68aae9d71b0bff91432c00b,True,
ZQ,c22e42ecf733dbcb7d25e777cec0a240,2021-01-03,ea999d6546fd9c95560670ab450116ac,Meter Stopped/Stuck,23f3aff337b3056883f4a9047460d176,True,
ZQ,a64b575eaa531db7f95cf5a6ff43e93f,2021-01-03,9b92d3783694fc8a3e1a957dd252899c,Meter Stopped/Stuck,f9971fcd6c3e8a35b8a07db92dfaaf40,True,
ZQ,bb5d591a371c3fe3eb763f7ec1ee0b51,2021-01-03,8b905b1337339d3f2700fe436a1ec1b5,Meter Stopped/Stuck,92e42029250460f40db0407534d79c24,False,
ZQ,e787d5358b6c91ded1ac530036306b64,2021-01-03,154339e7fc22beb644e6bb695540a6b2,High Consumption,e050518952e9f7e7c02b85ef1cf2d87b,True,
ZQ,941a4d3a495937cadbf4a500fe9a47b1,2021-01-03,bfb2aa44cf7cbf75c8181d6b79be1adf,Meter Stopped/Stuck,2b4e6e91f085b9ec0e88ab056477074b,False,
ZQ,25c6e98e25614879eac3d967248ac64f,2021-01-03,71113cb7ef2221fffe84f83f4dae4064,Low Consumption,e737227cd9575d5f254bb067912d4473,False,
