notification_type,notification_no,notification_date,contract_acct,cause_code,meter_no,prediction,probability
ZQ,4452ddfb14f86ea9c813dff49cee6d36,2021-01-06,81ee3b21484acd089977e35e6544cbe7,Low Consumption,303de40a8fa41a5101331e192e28f606,True,
ZQ,5c6a66650407be7fd4b8e16c5dbff1cc,2021-01-06,e9a7e9b06315bf16234e2794819e4b81,Meter Stopped/Stuck,d3980aded477f8c8f8698f0e9e213c71,True,
ZQ,1ec3f6d5cc91151f531e955fa60f1574,2021-01-06,20420f5d0f602642b29d14e8502c38e7,Meter Stopped/Stuck,ac49bbb8a8f11d9e0c7e8b3e5793c299,True,
ZQ,1540f1e041ef7571c025b860adaf12f5,2021-01-06,a144e987e729958ef8d49205b812b584,High Consumption,790271a5f122ba779cee3993e7120656,True,
ZQ,2774ea3de6c2c490f4d778efba29f06b,2021-01-06,9fa27e219dceb078e2a813ee11edccd7,Low Consumption,3769594ccab9c606ced0b5a79e555c00,True,
ZQ,4e0ca4d8709ebbbe09cd4ec7bc23b399,2021-01-06,4b85602ffe39845a6000cf25e17a6a08,Low Consumption,0e839f2b2ef8aaff41b4f0aa6895bdb3,True,
ZQ,3e35f3c5a842e4d04fb5414fbf296f9d,2021-01-06,fe2fd256eaeca34436f6429c00beb32e,Meter Stopped/Stuck,c142b144845945a5c62c4a8a55cddb93,True,
ZQ,3b7da7856a45f068f0418df4433d052f,2021-01-06,400ffe617da98aa3b41c70fffbf58456,Meter Stopped/Stuck,7307b03413a8644c22ca29c3436103d1,True,
ZQ,0f8e281a0e30cfc465c1977bdf32ab75,2021-01-06,3ac111c7bccd659675ae860e259175c3,Low Consumption,8eebb4a5fd5cbbabf00e1ffa1a05e1fa,False,
ZQ,3ed3f4340e02cab06ae033d7eb9a7fcc,2021-01-06,5eea84b095c4f369a234ecf223984ead,High Consumption,353611c45a224a61884e31f98c0f33a5,True,
ZQ,8fd34b8f4e7fd5a456f364e5f6aa3c00,2021-01-06,6ba1b8bdd273de33c6cf67ae471ec314,Meter Stopped/Stuck,4ea470ebcac456a30705884f844980c8,True,
ZQ,85898e514c771cd1a4d7e322fddf4c28,2021-01-06,ecb8a5290115f3806a8ba46c48ec14de,Meter Stopped/Stuck,5c732f8fbec6301a29ed9aefccfe2f7e,True,
ZQ,64903b6873224fb0f70ac3207af3ee6f,2021-01-06,0054ee678992124d8e9c45056b399811,High Consumption,b1fbf1863a5c63d86f9888429de07609,True,
